Year, Nation, Subregion, #Silver
1896,Greece,Southern Europe,18
1900,France,Western Europe,38
1904,United States,North America,79
1908,Great Britain,Northern Europe,51
1912,United States,North America,19
1920,United States,North America,27
1924,United States,North America,27
1928,United States,North America,18
1932,United States,North America,36
1936,Germany,Western Europe,31
1948,United States,North America,27
1952,Soviet Union,Eastern Europe,30
1956,Soviet Union,Eastern Europe,29
1960,Soviet Union,Eastern Europe,29
1964,Soviet Union,Eastern Europe,31
1968,Soviet Union,Eastern Europe,32
1972,United States,North America,31
1976,Soviet Union,Eastern Europe,41
1980,Soviet Union,Eastern Europe,69
1984,United States,North America,61
1988,East Germany,Western Europe,35
1992,Unified Team,Unknown,38
1996,United States,North America,32
2000,Russia,Eastern Europe,28
2004,United States,North America,39
2008,United States,North America,39
2012,China,Eastern Asia,31
2016,United States,North America,37
2020,United States,North America,41
2024,United States,North America,44
1896,Greece,Southern Europe,18
1900,France,Western Europe,38
1904,United States,North America,79
1908,Great Britain,Northern Europe,51
1912,United States,North America,19